A:\digitdebris\10debris\image_0000,occlusion,1,512,512,9,-0.10779644171191707,-0.03858476782958267,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitdebris\10debris\image_0001,occlusion,1,512,512,2,0.0069596245321482675,0.25128326544397184,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitdebris\10debris\image_0002,occlusion,1,512,512,6,-0.10343101078705688,-0.020218693885485625,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitdebris\10debris\image_0003,occlusion,1,512,512,9,-0.02407488083889253,0.25648976824199615,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitdebris\10debris\image_0004,occlusion,1,512,512,3,0.2313654543715324,0.19802111242824944,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitdebris\10debris\image_0005,occlusion,1,512,512,3,0.05616695464847865,0.25712782844386256,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitdebris\10debris\image_0006,occlusion,1,512,512,7,0.013332442393157173,0.15847060889459347,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitdebris\10debris\image_0007,occlusion,1,512,512,2,0.14577256013832662,0.2533048199370604,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitdebris\10debris\image_0008,occlusion,1,512,512,9,0.05116867790342683,-0.08259049085509156,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitdebris\10debris\image_0009,occlusion,1,512,512,9,-0.09517947457102838,-0.008840460778082274,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitdebris\10debris\image_0010,occlusion,1,512,512,8,0.09148279071618026,-0.05791535137260288,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitdebris\10debris\image_0011,occlusion,1,512,512,5,0.22708320663684428,-0.02055471635826152,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitdebris\10debris\image_0012,occlusion,1,512,512,5,0.26148530673311404,0.07032110018577094,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitdebris\10debris\image_0013,occlusion,1,512,512,8,0.07414765372928611,0.2120575479122006,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitdebris\10debris\image_0014,occlusion,1,512,512,8,-0.27388510092723517,0.02513045563059997,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitdebris\10debris\image_0015,occlusion,1,512,512,4,0.2817826549723474,0.10404230859743678,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitdebris\10debris\image_0016,occlusion,1,512,512,7,-0.17863351771180438,0.2639699691342932,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitdebris\10debris\image_0017,occlusion,1,512,512,1,0.12654190116083736,-0.08240985370795,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitdebris\10debris\image_0018,occlusion,1,512,512,3,0.15300674963309296,-0.10866949322450485,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitdebris\10debris\image_0019,occlusion,1,512,512,5,0.11882170995191454,0.1945818057453922,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitdebris\10debris\image_0020,occlusion,1,512,512,8,0.026823395192210664,0.26099396007268044,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
