A:\digitclutter\3digits\image_0000,occlusion,3,512,512,8,0.1660774659594726,0.18251617467095615,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,1,-0.238435915565717,0.2244696282592777,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,3,-0.14929562587830403,0.21920415569017365,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitclutter\3digits\image_0001,occlusion,3,512,512,2,-0.15852394177242232,-0.07185341311268474,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,0,-0.21540194304403115,0.0022500901625681496,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,6,0.21737186413936732,-0.09138689471427704,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitclutter\3digits\image_0002,occlusion,3,512,512,3,0.04478753798895607,-0.07218845228171526,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,0,-0.04785441628952275,0.028836326404643994,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,4,0.16975242348109243,-0.11218847597477306,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitclutter\3digits\image_0003,occlusion,3,512,512,7,-0.25083728990842,0.034649993903664036,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,5,0.2259973465161586,-0.059405287114116925,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,6,0.21169477751582472,0.2513406270588423,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitclutter\3digits\image_0004,occlusion,3,512,512,5,0.273432518447354,0.23107503004328717,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,6,0.08164169251262943,0.22136747497106263,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,3,-0.06857877100993112,0.06474577488406331,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitclutter\3digits\image_0005,occlusion,3,512,512,0,-0.015364525436740384,0.21316744577305724,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,3,-0.04926692723968115,0.03763792957569552,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,8,-0.17043125436367174,0.20857603774664302,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitclutter\3digits\image_0006,occlusion,3,512,512,0,0.20287682119032296,0.2657566700562367,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,4,0.2103276459297106,-0.0982969060263522,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,9,0.17058893435376388,0.21332843707809657,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitclutter\3digits\image_0007,occlusion,3,512,512,6,0.12448991313107333,-0.03751688707723805,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,1,-0.22255155714888106,0.1633174339167041,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,3,-0.16002117670815946,0.25875711185881595,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitclutter\3digits\image_0008,occlusion,3,512,512,1,-0.19178003166233354,-0.06796806152157454,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,4,0.22986917282916924,0.010940443466464986,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,7,-0.14108084673930096,0.1945116129676106,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitclutter\3digits\image_0009,occlusion,3,512,512,3,-0.1510964587108832,0.034609083184949305,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,8,-0.0416192493958745,0.09352982757824808,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,1,0.08670775035951817,-0.10458691407533711,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
