A:\digitclutter\5digits\image_0000,occlusion,5,512,512,6,0.053888790399431286,-0.08878103607400419,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,8,0.07704490554871796,0.022117506687325886,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,2,-0.15354416249975955,-0.01235821370742543,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,1,0.12857997754115302,0.2385959485831824,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,9,-0.12900691419056454,0.08268829927503722,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitclutter\5digits\image_0001,occlusion,5,512,512,8,0.11471927555850692,0.05596011607250358,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,3,-0.05026754387668897,-0.06327590099597126,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,1,0.2846365727578574,0.2554152588455121,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,0,-0.266185327214697,0.263029005288007,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,6,0.24886702757472418,0.2441666941246604,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitclutter\5digits\image_0002,occlusion,5,512,512,9,-0.1832190297235959,0.11147707804721584,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,5,-0.03374182710185075,0.11804488002914022,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,1,-0.16869737855107764,0.10197680406629119,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,4,-0.14473279251261767,0.12617788075470837,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,2,0.2805970790583879,0.20633384582843806,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitclutter\5digits\image_0003,occlusion,5,512,512,7,0.002951912673014534,-0.049503717170057374,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,4,0.23854201051144214,0.05836121693139305,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,2,0.13532287947675264,0.1332913446776443,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,3,0.013823167743409526,0.2297327980937151,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,6,-0.06375206347806198,-0.049683253231246685,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitclutter\5digits\image_0004,occlusion,5,512,512,2,-0.1627866943290935,0.0737586166911701,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,4,-0.19681153832054285,0.16089217689915963,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,7,-0.17762479368609968,0.20282346097669302,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,1,0.25528310693163575,0.020603407901267787,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,8,0.22988673454499525,0.11325643842601855,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitclutter\5digits\image_0005,occlusion,5,512,512,0,0.07465174652551221,0.25875980525359005,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,5,0.045625730634818396,-0.07864017036340866,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,7,-0.27584814934642354,0.21451798584922893,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,9,-0.05963046869927241,-0.07709425991691084,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,8,-0.027809052741965767,0.00996975175902004,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitclutter\5digits\image_0006,occlusion,5,512,512,6,0.23929855836481556,0.0968785523603803,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,4,0.08540480948263446,0.0599741896094456,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,8,-0.08753422909414596,0.012680515578097115,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,9,0.1208891807780787,0.012349324969923706,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,2,0.032410127208864825,0.09697723570986595,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitclutter\5digits\image_0007,occlusion,5,512,512,1,-0.14172300030438498,0.18862564630984463,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,2,0.22451014941981012,0.013340893100125192,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,4,0.2011229195945306,0.18855573132184777,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,7,0.15512602748568072,0.15321769048001949,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,3,-0.02736179097300573,0.23441863993693496,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitclutter\5digits\image_0008,occlusion,5,512,512,2,0.0970342861271895,-0.11354302568887052,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,0,-0.171476799374918,-0.04856501144310897,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,9,0.13356502043689905,0.1684116586222189,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,6,0.2180474999178878,0.12916164813199343,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,8,-0.052577720975809844,0.24255422108998165,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitclutter\5digits\image_0009,occlusion,5,512,512,5,-0.10268719871292037,0.2513043386244203,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,9,0.2186848403789548,-0.04538892902418423,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,0,-0.22435150588358554,-0.02599305811873226,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,4,-0.19937933306152839,-0.10915070145492571,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,7,-0.12040736914324124,0.00775350265563797,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
