A:\digitclutter\4digits\image_0000,occlusion,4,512,512,0,-0.19703325365153396,-0.030714381607465382,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,9,-0.003977524538672117,0.2046674604380086,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,4,-0.21334243844373202,0.11282847131120684,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,2,-0.049631560933977636,0.24921889361676736,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitclutter\4digits\image_0001,occlusion,4,512,512,0,0.1873766360889454,0.23010674715543733,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,8,0.19215377450074306,0.08646047885202494,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,4,-0.2275435493806363,-0.05112504778050704,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,5,0.15612644181281876,-0.0981484276390258,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitclutter\4digits\image_0002,occlusion,4,512,512,2,-0.15973009791047327,0.07411241472158468,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,7,0.10751622871622035,-0.06418666886835502,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,6,0.04129186212322711,-0.055905990447041656,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,9,0.13218382794245975,0.12736455795480767,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitclutter\4digits\image_0003,occlusion,4,512,512,5,0.06830601687328414,0.10461781484779213,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,0,0.03288734412431099,-0.07549176972075945,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,2,0.16057463576813108,0.10796779169103109,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,9,-0.02295396561478258,0.14542700365522382,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitclutter\4digits\image_0004,occlusion,4,512,512,0,-0.04003609953855308,0.2637719949483326,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,5,-0.05792099450411814,0.22402342294173477,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,4,-0.02803902831676197,0.05538704235176857,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,2,0.17253680505944174,0.10011489003866204,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitclutter\4digits\image_0005,occlusion,4,512,512,9,-0.2650336850218914,0.22892552433247143,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,2,0.1391553521476575,-0.00519154322805461,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,3,-0.004982679528818257,0.2357620384904892,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,5,-0.23300616491657575,0.19725151693528303,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitclutter\4digits\image_0006,occlusion,4,512,512,8,0.0662731598320544,0.11587460874739781,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,2,-0.18454921149096357,0.04712204448100284,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,0,-0.15502507567080692,-0.09362517355930118,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,3,-0.1547732608950772,0.2607684387881771,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitclutter\4digits\image_0007,occlusion,4,512,512,8,0.23623754725632168,-0.1059529288265489,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,1,0.1829426929982051,0.025446154259853068,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,4,0.24490480855743718,0.04711563195149633,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,9,0.22230207668252283,0.0006553411317466173,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitclutter\4digits\image_0008,occlusion,4,512,512,5,0.06966674823427116,0.21501659758823644,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,3,0.003943153393479282,-0.011001177873151066,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,2,-0.2411332049741923,0.012149843354050546,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,4,-0.0597111985778378,0.1199638840378252,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
A:\digitclutter\4digits\image_0009,occlusion,4,512,512,9,0.10765122377013814,0.12629034092192737,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,0,-0.03787063902635174,0.21783763710163734,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,3,0.26413175807611794,0.16206651074708356,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20,2,-0.24628596491140747,0.12161529993202204,1,1,arial-bold,384,0,0,0,1.0,255,255,255,1.0,20
